brand	product_name	price 
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB Video Card GV-N3080AORUS X-10GD	1,166$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card GV-N3080GAMING OC-10GD	1,128$
MSI	MSI Codex ZS 3-002BUS AMD B550 1 x HDMI Barebone and MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X 12G	644$
MSI	MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC and MSI Codex ZS 3-002BUS AMD B550 1 x HDMI Barebone	624$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS X-12GD	1,468$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD	1,342$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB Video Card GV-N3080AORUS X-10GD	1,175$
ASUS	ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080TI-O12G-GAMING and ASUS PRIME B550-PLUS AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard	1,786$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card GV-N3080GAMING OC-10GD	1,137$
MSI	MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G and MSI Codex ZS 3-002BUS AMD B550 1 x HDMI Barebone	939$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE-12GD	1,128$
